horizon,mean_da,median_da,mean_pearson,mean_spearman,mean_amp,mean_cov,n_cells,n_signif_05
1,0.4778846153846154,0.4825,-0.01885158396312956,0.015487735287926416,0.3283290550839485,0.8186538461538462,13,0
2,0.4703846153846154,0.4675,-0.007161933811021907,-0.002746775833490106,0.3035637122524632,0.8103846153846154,13,0
3,0.4930769230769231,0.4825,0.11002692763065262,0.043746781846660365,0.2664499439300486,0.8003846153846154,13,0
5,0.47057692307692306,0.4725,-0.012638021214210716,0.009182910349253861,0.27642638740995457,0.8192307692307692,13,0
