horizon,mean_da,median_da,mean_pearson,mean_spearman,mean_amp,mean_cov,n_cells,n_signif_05
1,0.47285714285714286,0.4825,-0.03889712180673845,-0.013160826588033771,0.15023504197358428,0.8028571428571428,7,0
2,0.4853571428571429,0.4825,-0.057968089233152886,-0.04182797210556798,0.14023280085419013,0.7985714285714286,7,0
3,0.4717857142857143,0.4775,-0.05197238198001585,-0.03376000864986745,0.1348152961641123,0.7885714285714285,7,0
5,0.47714285714285715,0.4675,-0.032599030149696215,-0.053283483251383504,0.132449224265816,0.8046428571428572,7,0
