horizon,mean_da,median_da,mean_pearson,mean_spearman,mean_amp,mean_cov,n_cells,n_signif_05
1,0.473125,0.47,-0.052813614643605455,-0.015162572827643394,0.17101379819421408,0.8021875,8,0
2,0.4740625,0.47250000000000003,-0.048828879905149794,-0.013001746279382803,0.1463436528256668,0.8065625000000001,8,0
3,0.4540625,0.4675,-0.005877479111241833,0.009551292636849094,0.14445784345951931,0.81125,8,0
5,0.4759375,0.475,-0.032267383611784904,0.00300205081534999,0.12749912984542983,0.8140625,8,0
