horizon,mean_da,median_da,mean_pearson,mean_spearman,mean_amp,mean_cov,n_cells,n_signif_05
1,0.4692857142857143,0.4775,-0.022825050502982416,-0.027445192433717153,0.2512145937653843,0.8089285714285713,7,0
2,0.47107142857142853,0.48,0.003022585567437474,0.0043634879949495066,0.23512921430914965,0.8121428571428572,7,0
3,0.4778571428571428,0.47,-0.03511073276046567,-0.007135587164158596,0.24026294052427183,0.8285714285714285,7,0
5,0.4810714285714286,0.485,0.009200168081395657,0.012681345822922062,0.22282157171868613,0.8210714285714286,7,0
