variant,rebalance_days,ic,ic_t,ls_net_sharpe,ls_gross_sharpe,turnover,breakeven_bps,span_alpha_ann,span_alpha_t,fm_t,sharpe_boot_p_vs_chronos
chronos,5,0.05942744276936809,5.356180790183125,0.8981358417545589,1.7441716997674042,41.86493208103748,16.637392868413603,-0.0281137147212506,-1.422661882007553,2.373965193193397,
mimic,5,0.0868583909877394,5.830762000117408,2.166307767704834,2.6864205257441935,24.287307898119934,66.7188963642176,0.02835673432159994,1.5757901491508466,4.4882835755880475,0.001
chronos_minus_mimic,5,0.00833319019622332,0.9551356630374269,-1.6446374159640114,-0.5473850870218716,49.471252498856195,-9.732442587984735,-0.05458490635718203,-2.5220701508282617,0.26180716961957873,1.0
mimic_ext,5,0.07932903364074557,5.271262087873184,1.6111318756521114,2.1338023093895924,23.379811858491323,51.86815033493809,0.005407101642798544,0.3102262840989102,3.228415555461177,0.027
chronos_minus_mimic_ext,5,0.007166207332326898,0.8400903394985377,-1.2924997914562182,-0.12171552939904058,50.43854636027632,-5.749806859438377,-0.04682781856803285,-2.176495616325586,0.307001338375872,1.0
combo_classic,5,0.05881183055811552,4.158493617658211,1.313924956857854,1.8895158295995709,30.90033963429584,32.48064005238141,-0.009982471995383106,-0.5821790599216938,4.854590957296372,0.2475
combo_plus_chronos,5,0.05432351313621281,3.874149015447163,1.0331016488630318,1.625821464814949,31.20451292675753,25.86855899321583,-0.02092417545621544,-1.223448774081924,4.187735482302023,0.4155
chronos_smooth_hl5,5,0.07700321089772577,6.149885198425607,1.2398062072429104,1.784499874180138,18.886430285728974,46.40605658855512,0.009178929343732293,0.4002337787739702,2.3186380661609993,0.118
chronos_smooth_hl10,5,0.07516505698210384,5.814234012893384,1.1037156034319453,1.589226052476378,12.839048345819377,60.46418850046143,0.00724155679442476,0.3197040345832168,1.8922982081813389,0.295
chronos_smooth_hl21,5,0.069399224773939,5.2688614055477165,0.8692956932075329,1.3176396217415505,8.612146819656338,70.7434296242375,-0.0013647446997654624,-0.062015829297471306,1.387094001597905,0.5335
chronos_monthly,21,0.10540816150489292,5.48307095689431,1.1268111810653014,1.780957191652718,11.436908299421223,50.80718012099615,-0.02713333441620376,-1.6538003448329948,2.8976370179365514,
chronos_smooth_hl10_monthly,21,0.10725094380342481,4.172544721395564,0.7548544365504976,1.2031311783211158,6.655369861978046,75.87919515806115,-0.023462575964078115,-1.0776642547080926,2.3050141066489487,
combo_plus_chronos_hl10,5,0.04841475044603139,3.3674386581242723,0.5124634578024797,0.9361795776598747,10.685932847946232,35.683922054688175,-0.026522617147835686,-1.3909333109470332,1.7750388551673917,0.734
combo_classic_hl10,5,0.048956513375744734,3.3849276413003335,0.7862056280438912,1.2020392408512142,10.717404586096796,52.835914404581445,-0.021480285558208433,-1.1739384800494137,1.507643918439595,0.581
