variant,rebalance_days,ic,ic_t,ls_net_sharpe,ls_gross_sharpe,turnover,breakeven_bps,span_alpha_ann,span_alpha_t,fm_t,sharpe_boot_p_vs_chronos
chronos,5,0.07440738184894409,6.386332866998111,1.26273140760841,1.9412465139785573,31.97868134582869,28.83178516406877,-0.004007433874775951,-0.21634777780388847,3.5111308196291064,
mimic,5,0.08634058166171746,5.712484468583975,2.038286540892977,2.537424985037772,20.070852193733383,73.94718322104676,0.028942959144536907,1.7283761102570927,3.817621640386975,0.0325
chronos_minus_mimic,5,0.02209622539418193,2.488107325117426,-0.9499762449082909,0.001215563284748025,40.331255963084736,-5.911091433017629,-0.03690776236696412,-1.6545547065508515,1.7202606859389604,1.0
mimic_ext,5,0.08104014291094178,5.320631865607288,1.5671027400705284,2.065154727767152,19.35308160342657,59.527901901651894,0.010136755075665967,0.6244543437002448,3.318870892634873,0.192
chronos_minus_mimic_ext,5,0.01939737753674785,2.1772185105899684,-0.673058628418312,0.3280465952634902,41.30515162041146,-2.251759237038671,-0.030442631991080833,-1.4122359106827942,1.4903521158313466,0.998
combo_classic,5,0.05881183055811552,4.158493617658211,1.313924956857854,1.8895158295995709,30.90033963429584,32.48064005238141,-0.009982471995383106,-0.5821790599216938,4.854590957296372,0.479
combo_plus_chronos,5,0.05924738077026458,4.170633659847449,1.2201396052350075,1.8159102459242462,30.291024486784934,29.952682040584804,-0.012370726409408141,-0.7239499702125476,4.384825769466754,0.524
chronos_smooth_hl5,5,0.07929464914584504,6.188995775386033,1.360848303201907,1.841216768205204,13.794713612439073,70.34544550883987,0.015611411326401325,0.7674282120567544,2.8870308212503826,0.311
chronos_smooth_hl10,5,0.07586910225034633,5.827681012939784,1.2113613218042474,1.6591806452918345,9.717703068519262,87.87430430433702,0.010641012051484407,0.5246936794056386,2.4765887255743766,0.5875
chronos_smooth_hl21,5,0.06915287401024661,5.286139573407547,0.9431778187706689,1.369892251746998,6.980461692279879,94.90525235852563,-0.002703290600090378,-0.1319097221533009,1.7635778366244705,0.8495
chronos_monthly,21,0.11807333708963444,5.689382643323617,1.2833211469859795,1.8196483766514322,9.321466281846298,80.32351753776162,-0.01999297523726223,-1.3164901415796921,3.403698961434125,
chronos_smooth_hl10_monthly,21,0.11445766749464291,4.502386189025822,0.9722187427690896,1.399431946213642,5.440602757450021,119.58718292957636,-0.012350604748617692,-0.6891713027277249,3.1136307209616447,
combo_plus_chronos_hl10,5,0.05602081005934713,3.8159322071032626,0.84686716358615,1.2729853478754103,10.050226096486345,57.95818675340666,-0.009994722444201088,-0.5363129844748782,1.5690193521636122,0.789
combo_classic_hl10,5,0.048956513375744734,3.3849276413003335,0.7862056280438912,1.2020392408512142,10.717404586096796,52.835914404581445,-0.021480285558208433,-1.1739384800494137,1.507643918439595,0.7695
