ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh
GAZP,1,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,0.04659839605692263,0.03555118451208798,0.145368849323404,0.79,0.015415094629825526,0.9988758959477645
GAZP,2,400,0.5125,0.3263822988533345,0.463629805456242,0.5611323785287659,0.02353045143710373,0.07322055592814802,0.14665808648069412,0.795,0.014021822094242832,0.9988758959477645
GAZP,3,400,0.48,0.8023236229954709,0.43146252672290986,0.5289179789010773,-0.18523120715073896,-0.003175476586105129,0.13232478716668455,0.81,0.014811396187303214,0.9988758959477645
GAZP,5,400,0.4975,0.5596055982095514,0.44875800198627125,0.5462895612167272,0.004550935855183625,0.07229925296489516,0.12009841271832075,0.8275,0.013052501172461586,0.9988758959477645
ROSN,1,400,0.4525,0.974479888435426,0.40440392129266217,0.5014997795643075,-0.021310403783316664,-0.026073288515307654,0.17813864644981978,0.795,0.012714557684594872,0.9988758959477645
ROSN,2,400,0.5225,0.19767637700452917,0.4735685130017636,0.5710034181712508,0.06193751061202729,0.06203016237497568,0.18939661106808364,0.755,0.014472850202189975,0.9988758959477645
ROSN,3,400,0.505,0.44039440179044864,0.4561884685810796,0.5537164050129236,-0.04416874515350027,0.03682024635915209,0.16855114741158977,0.795,0.013931333047882355,0.9988758959477645
ROSN,5,400,0.5275,0.14685405908089114,0.47854513130033327,0.5759316734666842,0.04258818385983173,0.05127630584576413,0.15124094232755864,0.765,0.013650106386294315,0.9988758959477645
LKOH,1,400,0.4675,0.9115290291111475,0.41914492339919235,0.5164733982397869,-0.016839810479040703,-0.0369690063976623,0.17691230678658668,0.78,0.01274360264499677,0.9988758959477645
LKOH,2,400,0.515,0.29118723976703065,0.46611266795606887,0.5636019528259407,-0.02932937544259937,0.08233185179996336,0.16133579664278788,0.7875,0.013806952024771592,0.9988758959477645
LKOH,3,400,0.4775,0.8289388019579742,0.4289965818287492,0.5264314869982364,-0.11930798111753146,-0.009989694548715518,0.1533811650696719,0.7925,0.013345361048656346,0.9988758959477645
LKOH,5,400,0.4975,0.5596055982095514,0.44875800198627125,0.5462895612167272,-0.0526634596887069,0.025043239442475915,0.12950059675401576,0.8075,0.01277337913386684,0.9988758959477645
NVTK,1,400,0.465,0.9265171308072765,0.4166850440507483,0.5139808407912294,0.003169297937760448,-0.024324326892993367,0.16672354408206402,0.7775,0.014822784499922338,0.9988758959477645
NVTK,2,400,0.5025,0.4800653490181036,0.4537104387832728,0.5512419980137288,0.04822692361537088,0.08276861737909767,0.14439238874575117,0.755,0.015540174977855257,0.9988758959477645
NVTK,3,400,0.5075,0.40131262704637327,0.458667706127959,0.5561896042630459,-0.08869391735805297,0.05987137497796884,0.12051452742345789,0.78,0.015228762866626454,0.9988758959477645
NVTK,5,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,-0.049067979766655175,0.0014115842559508337,0.12239848059223168,0.7725,0.015126964743457552,0.9988758959477645
TATN,1,400,0.49,0.6736177011466655,0.4413384044602659,0.5388518483517277,0.02737357705953251,0.018787496405517776,0.24675179103779615,0.7875,0.013081467232365506,0.9988758959477645
TATN,2,400,0.5,0.5199346509818964,0.4512336165999552,0.5487663834000448,0.04494012668345029,0.05940991011963072,0.16356754606437754,0.755,0.014539831404278862,0.9988758959477645
TATN,3,400,0.475,0.8531459409191089,0.4265318481465433,0.5239437838834407,-0.0576518765038963,0.006617047650972573,0.15503896599639577,0.8025,0.013800373643274218,0.9988758959477645
TATN,5,400,0.4875,0.7088127602329694,0.4388676214712341,0.536370194543758,0.0018150361999144501,0.022860855707938624,0.1182651244953878,0.775,0.014075903953964162,0.9988758959477645
SNGS,1,400,0.485,0.7421284715039849,0.4363980471740593,0.5338873320439311,-0.09144267985844279,0.0643826126789452,0.11340935504114487,0.8,0.014720976276792714,0.9988758959477645
SNGS,2,400,0.49,0.6736177011466655,0.4413384044602659,0.5388518483517277,0.02404122016434905,-0.013502102662064924,0.10753590587283136,0.7775,0.01606992301341714,0.9988758959477645
SNGS,3,400,0.5175,0.25787152849601513,0.4685967396420818,0.5660703179369293,-0.032831355587527214,-0.008046667796973715,0.09228519594109334,0.7875,0.016191872282017086,0.9988758959477645
SNGS,5,400,0.4825,0.7733518917289951,0.4339296820630707,0.5314032603579181,-0.03804299437637595,-0.04028115965842221,0.08791288298768327,0.785,0.015606953395950099,0.9988758959477645
SNGSP,1,400,0.51,0.3631934575915604,0.4611481516482723,0.558661595539734,-0.16261262492688822,0.04371605874195625,0.1815928275520545,0.7925,0.012195523851991274,0.9988758959477645
SNGSP,2,400,0.425,0.9988758959477646,0.3774935293944863,0.4739333666954657,-0.02747488792572994,-0.04348391505718295,0.1791096767959387,0.805,0.012135684199055917,0.9988758959477645
SNGSP,3,400,0.5,0.5199346509818964,0.4512336165999552,0.5487663834000448,0.07460593114983667,0.11437825210552503,0.16240392708774914,0.795,0.012619273514676376,0.9988758959477645
SNGSP,5,400,0.4625,0.9394835815769507,0.4142263811170028,0.5114870669279734,-0.1020397989097565,-0.04741004578731603,0.14906512041637227,0.795,0.01270708985446265,0.9988758959477645
TATNP,1,400,0.445,0.9878360845980799,0.3970499227484684,0.4939964677174965,-0.024229621283247692,0.008742370181115242,0.21551438088104596,0.795,0.01267465147264363,0.9988758959477645
TATNP,2,400,0.49,0.6736177011466655,0.4413384044602659,0.5388518483517277,0.086878926552079,0.035890149409688744,0.15603946699778304,0.7675,0.01285082612457682,0.9988758959477645
TATNP,3,400,0.4475,0.9842866822427846,0.39950002860195316,0.4964987986610134,-0.01389352070867164,-0.005546122538438262,0.13989166305379663,0.81,0.013261806191357394,0.9988758959477645
TATNP,5,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,0.008205186779933687,-0.010961734839639716,0.11176907667474636,0.79,0.012544289098080823,0.9988758959477645
SIBN,1,400,0.475,0.8531459409191089,0.4265318481465433,0.5239437838834407,0.05067377512206619,-0.010383243495788421,0.19237146665491536,0.785,0.013074321562975106,0.9988758959477645
SIBN,2,400,0.5075,0.40131262704637327,0.458667706127959,0.5561896042630459,0.08235422751273402,0.01365637534194143,0.1839295680488941,0.765,0.0129872448845496,0.9988758959477645
SIBN,3,400,0.4425,0.99066923984132,0.3946010465039066,0.49149290716505667,-0.16653865060803402,-0.02974316191562845,0.16545787042249652,0.775,0.014347162816500236,0.9988758959477645
SIBN,5,400,0.485,0.7421284715039849,0.4363980471740593,0.5338873320439311,0.01619434334044595,-0.03652549266749719,0.1575337767949104,0.79,0.012530925495817757,0.9988758959477645
RNFT,1,400,0.4475,0.9842866822427846,0.39950002860195316,0.4964987986610134,-0.09210964908647144,-0.027101631388912528,0.15039091431688642,0.795,0.020013912339040978,0.9988758959477645
RNFT,2,400,0.495,0.5986873729536267,0.44628359498707637,0.5438115314189205,0.06589394363632725,0.05325391118000841,0.13200203609864808,0.79,0.019942693824023233,0.9988758959477645
RNFT,3,400,0.48,0.8023236229954709,0.43146252672290986,0.5289179789010773,-0.10529329032354015,-0.010085734078363977,0.1353520331375596,0.79,0.02145567618948095,0.9988758959477645
RNFT,5,400,0.485,0.7421284715039849,0.4363980471740593,0.5338873320439311,-0.004825390825088987,0.009498957890885876,0.12535195975400992,0.77,0.020850075585206077,0.9988758959477645
BANEP,1,400,0.485,0.7421284715039849,0.4363980471740593,0.5338873320439311,0.0445274140962647,0.05469175778770103,0.2156878287039692,0.795,0.014908845601037312,0.9988758959477645
BANEP,2,400,0.5175,0.25787152849601513,0.4685967396420818,0.5660703179369293,0.0938495768329459,0.10831454921686184,0.19962124313814986,0.77,0.014508286861877655,0.9988758959477645
BANEP,3,400,0.4625,0.9394835815769507,0.4142263811170028,0.5114870669279734,-0.2550841432159554,-0.003941668946839174,0.1665028484945783,0.79,0.016451261417052828,0.9988758959477645
BANEP,5,400,0.47,0.8943768699508726,0.42160601793747937,0.5189647404985014,0.06665056637073821,0.08456289951810095,0.1549202257055143,0.78,0.01400933099208593,0.9988758959477645
TRNFP,1,400,0.465,0.9265171308072765,0.4166850440507483,0.5139808407912294,0.013681843343166645,0.027531068603423598,0.1151844220473152,0.805,0.011680727632168684,0.9988758959477645
TRNFP,2,400,0.46,0.9505891065417176,0.4117689359158348,0.5089920753321397,-0.15156064612447184,0.0011797510528774764,0.09312959015180466,0.7875,0.011807582263084395,0.9988758959477645
TRNFP,3,400,0.4475,0.9842866822427846,0.39950002860195316,0.4964987986610134,-0.13262423384685998,-0.06628343092720644,0.08718449854826152,0.7475,0.012942335040925255,0.9988758959477645
TRNFP,5,400,0.43,0.9978431356642563,0.3823751858037104,0.4789565838802449,0.04045769945895745,-0.035788782416832976,0.07790965649562082,0.7525,0.012096300884617434,0.9988758959477645
