horizon,mean_da,median_da,mean_pearson,mean_spearman,mean_amp,mean_cov,n_cells,n_signif_05
1,0.5015384615384615,0.5,-0.02661185838010925,0.0006139804722532121,0.18392620969880574,0.7878846153846154,13,0
2,0.5094230769230769,0.5075,0.01971126319199868,-0.007217110843009409,0.17679457967214754,0.8067307692307693,13,0
3,0.4892307692307692,0.485,-0.017638472711324203,-0.0036450901732499466,0.1655967481048514,0.7925,13,0
5,0.5096153846153846,0.5175,-0.013841661991626841,-0.023573057164999425,0.17414872921556185,0.8082692307692307,13,0
