horizon,mean_da,median_da,mean_pearson,mean_spearman,mean_amp,mean_cov,n_cells,n_signif_05
1,0.4685714285714285,0.47,-0.024821381877562387,-0.03239023012416248,0.24687638797354092,0.8110714285714286,7,0
2,0.47000000000000003,0.4775,0.003466956123233934,0.0035783293498462534,0.23177034895887452,0.8139285714285714,7,0
3,0.48214285714285715,0.4775,-0.03456201228182124,-0.01117464936579005,0.24140890384992422,0.8278571428571428,7,0
5,0.48,0.485,0.010661423822927844,0.013569327283300847,0.22280041589380947,0.8239285714285715,7,0
