horizon,mean_da,median_da,mean_pearson,mean_spearman,mean_amp,mean_cov,n_cells,n_signif_05
1,0.4839583333333333,0.48124999999999996,-0.022040805092020083,-0.02661676351374935,0.17319761305702583,0.7860416666666667,12,0
2,0.48875,0.48875,-0.025250456755483156,-0.04438730452101595,0.16356493202376035,0.8029166666666666,12,0
3,0.4902083333333333,0.48624999999999996,-0.011169281479462286,-0.004405656745531503,0.1493936864251491,0.7914583333333334,12,0
5,0.476875,0.46875,-0.03154982659033016,-0.06492255654557284,0.15615442570000806,0.8122916666666667,12,0
