horizon,mean_da,median_da,mean_pearson,mean_spearman,mean_amp,mean_cov,n_cells,n_signif_05
1,0.4771153846153846,0.48,-0.01862974898685741,0.015611908438202494,0.32150258151461597,0.8213461538461538,13,0
2,0.46846153846153843,0.4675,-0.007446609523114786,-0.0024537323458936394,0.2951467589513452,0.8125,13,0
3,0.49173076923076925,0.4875,0.11240658565166352,0.045487281008217334,0.26471282342903635,0.8046153846153847,13,0
5,0.4719230769230769,0.4725,-0.014011522201791728,0.00870368164508632,0.2748297481253702,0.823076923076923,13,0
