split,n_dates,b_chronos,t_chronos,b_loghar,t_loghar
2021,255,0.7016144103780642,7.187868142190783,0.2297906026389131,2.034710358115954
2022,234,0.4289292756485594,2.5375485845761654,0.2616603066218904,1.3045329776654406
2023,254,0.6398577560643264,7.9700136669349915,0.23910481110313,2.5834340062389183
2024,251,0.4963495084438313,5.632768417050743,0.4926035945484333,4.218471221962176
ex_2022_shock,949,0.5206097354514128,9.273228946428722,0.38509003740554826,5.650281976505258
