split,n_dates,dm_xl_vs_best_classic,dm_xl_vs_loghar,dm_xl_vs_loghar_pooled_mkt,dm_xl_vs_uni,qlike_gap_vs_best_classic
year_2021,255,-3.1000442787491225,-1.7149120205611892,-3.1000442787491225,-4.802372854920218,-0.015962656481522314
year_2022,234,0.8849909526240503,1.6675542778936407,0.8849909526240503,0.4329548906389677,0.21795195213999818
year_2023,254,-2.2258545242042254,-1.60265685764284,-2.2258545242042254,-6.886327665308837,-0.013273935733482012
year_2024,251,0.7754319362883606,0.49517149906150465,0.7754319362883606,-2.977862806769396,0.005624942805408428
ex_2022_shock,949,0.3117170749833561,1.0657709227494905,0.3117170749833561,-6.787209626961848,0.0015453476130444788
liquid_half,994,0.9084484899195138,1.2919366576143199,0.9084484899195138,0.047830276682699256,0.06098460478521861
illiquid_half,994,0.6042798142390581,0.2372822362890625,0.6042798142390581,-0.25399347483722357,0.032351940596245465
post_shock_20d,587,0.8324648560470556,1.4144211216479485,0.8324648560470556,0.27088868564124097,0.08256397495161272
calm,407,-1.5276233811728728,-0.32999773759339135,-1.5276233811728728,-6.781947899564841,-0.007977794095332447
