,coef,se,t
const,-0.8776636540124555,0.15912776811345772,-5.515465115973243
chronos_rv_xl,0.36203625254003935,0.07070285343817533,5.120532410429723
loghar,0.5265586888006081,0.07773728281919645,6.773566938598729
