model,qlike_raw,qlike_calibrated,mz_r2_log,dm_raw_vs_ewma,dm_cal_vs_ewma,dm_raw_vs_garch,dm_cal_vs_garch,dm_raw_vs_har_daily,dm_cal_vs_har_daily,dm_raw_vs_har_rv_ceiling,dm_cal_vs_har_rv_ceiling,dm_raw_vs_chronos_ret_uni,dm_cal_vs_chronos_ret_uni,dm_raw_vs_chronos_ret_xl,dm_cal_vs_chronos_ret_xl
ewma,0.853322953371521,0.6573469711772094,0.41117341782874167,,,,,,,,,,,,
garch,0.7289245066512559,0.6465083183987548,0.3827032764099604,,,,,,,,,,,,
har_daily,0.7654017462323803,0.7950634955878113,0.20034260174294116,,,,,,,,,,,,
har_rv_ceiling,0.6484795391584571,0.7404658056812214,0.27348503183686607,,,,,,,,,,,,
chronos_ret_uni,0.8980038546179083,0.7059254168404369,0.37131286943243214,,,,,,,,,,,,
chronos_ret_xl,0.8097765294873934,0.6503925430819573,0.40135389714135067,,,,,,,,,,,,
chronos_rv_uni,0.5039983021746607,0.5499560490570291,0.4692289666995414,-2.716925761635394,-3.9447494568403365,-1.8327820683149743,-1.592757819373789,-1.9135620069680057,-1.9052641101273406,-2.9063408657181777,-1.6981851798216079,-2.8583397747521695,-4.211677184796313,-2.3593447314010594,-2.431566054263306
chronos_rv_xl,0.5007289591293458,0.5278309234902498,0.5109362634971126,-3.6462554347812803,-3.8744775582654425,-2.5755935823093834,-3.4402495567171156,-2.563699877978097,-2.6637199089296977,-5.108978093007093,-2.5418909908424667,-3.739439334634421,-6.001270285177186,-3.208167366984002,-5.206318758132401
