use,model,net_sharpe,ann_vol,max_dd,turnover,vol_tracking_err,boot_p_vs_ewma,sharpe_diff_vs_ewma,boot_p_vs_garch,sharpe_diff_vs_garch,boot_p_vs_har_rv,sharpe_diff_vs_har_rv
lowvol_factor,ewma,-1.0977250807744083,0.0752395350824045,-0.34922060462585536,17.568322459956867,,,,,,,
lowvol_factor,garch,-0.7385879542648313,0.07058969009185762,-0.24544822111779874,33.567214226804204,,,,,,,
lowvol_factor,har_rv,-0.6860031581096759,0.06536518066390655,-0.22824931526055015,20.898205468792188,,,,,,,
lowvol_factor,chronos_rv_uni,-1.1928374578634855,0.06958266321134925,-0.34188066844775744,29.253240210484606,,0.6345,-0.09511237708907716,0.9785,-0.45424950359865424,0.9705,-0.5068342997538096
lowvol_factor,chronos_rv_xl,-1.2060747943815702,0.07246670702510749,-0.35945847049703894,22.843680979551333,,0.6425,-0.10834971360716183,0.9805,-0.4674868401167389,0.9735,-0.5200716362718942
inverse_vol_ew,ewma,-0.050527919304920454,0.2548211775347712,-0.45583287459611277,5.4078646330102815,,,,,,,
inverse_vol_ew,garch,-0.025258626855021147,0.25499060773954496,-0.45326582116985714,9.151210410524367,,,,,,,
inverse_vol_ew,har_rv,-0.000890230539664141,0.2619376745487559,-0.46047368891220763,5.441051248296937,,,,,,,
inverse_vol_ew,chronos_rv_uni,-0.04076235220706271,0.260048996498127,-0.46542095009285434,9.027207647542255,,0.436,0.001735216658305394,0.8505,-0.023281936515737678,0.867,-0.03706002736226388
inverse_vol_ew,chronos_rv_xl,-0.0354820776397318,0.2597910881219299,-0.46597979859383254,6.587076746173521,,0.3275,0.007404342130930441,0.7995,-0.01761281104311263,0.842,-0.031390901889638834
voltarget_ew,ewma,-0.17592253979669312,0.11728524075968619,-0.2378146821736381,2.5644976138493,0.023699383055720183,,,,,,
voltarget_ew,garch,-0.42674935870581443,0.10674493508651514,-0.23291690997653014,3.2212799526976514,0.026047605363136057,,,,,,
voltarget_ew,har_rv,-1.2642617430020067,0.07354366489388721,-0.16123481891977642,2.9285996073376723,0.05156850047831387,,,,,,
voltarget_ew,chronos_rv_uni,-0.47517916299935314,0.0954810976778541,-0.1978650634820508,3.644246458269224,0.024737768624074195,0.9635,-0.10099074167307964,0.147,0.06439202036421565,0.1045,0.47204426693688817
voltarget_ew,chronos_rv_xl,-0.3920887866498308,0.10254716034681499,-0.21136661285697145,3.1908289896529323,0.024754867939476528,0.9565,-0.09145038339342682,0.0595,0.07393237864386848,0.096,0.481584625216541
voltarget_mom,ewma,1.5522289470040724,0.09625262503914703,-0.18541502821552214,16.44673176341065,0.009236324826535596,,,,,,
voltarget_mom,garch,1.4169789864655105,0.0924498836925098,-0.19764893384568782,19.46046315067057,0.011627479439984528,,,,,,
voltarget_mom,har_rv,1.4047308680196746,0.051660026465874115,-0.11003529846721938,13.19443297028609,0.05049752891638305,,,,,,
voltarget_mom,chronos_rv_uni,1.3299856175346945,0.07963187014611849,-0.17649740723849205,18.835218286227793,0.021519344554405902,0.992,-0.22224332946937797,0.849,-0.086993368930816,0.5655,-0.07474525048498015
voltarget_mom,chronos_rv_xl,1.379436653717356,0.08902868043963887,-0.199473587189676,17.615605480567034,0.012983370492242689,0.9805,-0.17279229328671653,0.7505,-0.03754233274815455,0.5285,-0.025294214302318707
