variant,MED_SIG_ic,MED_SIG_ic_t,MED_ic,MED_ic_t,ls_net_sharpe,ls_gross_sharpe,ls_turnover,span_alpha_ann,span_alpha_t,fm_t,qlike,qlike_scaled,dm_t_vs_ewma,dm_t_vs_garch,pinball_h1,q05_hit,ic_diff_t_vs_uni,qlike_dm_t_vs_uni,qlike_sc_dm_t_vs_uni,pinball_dm_t_vs_uni,sharpe_boot_p_vs_uni
uni,0.07267751903831164,6.369977540252062,0.06824565445373824,6.025231590596031,1.1705897040649624,1.8274663550692207,25.500355947026243,-0.002842399220758541,-0.1499960133584843,2.697695140466259,0.8898744238642937,0.5996272449461644,2.518338425023801,4.693031562220893,0.005742713884934363,0.05444512778461118,,,,,
xl,0.06083967104699218,5.4692709362832135,0.061031974166846956,5.286267748975818,1.0051334214615724,1.8996612097141632,45.15533222965818,-0.020189615253504326,-1.0224342356332297,3.1781290995837,0.7959227248201453,0.5419913001324712,-1.6784156230983986,3.2410560164376063,0.005799381723346807,0.058784337843378436,-1.7998366424909935,-3.1628074217380866,-3.7679725236351453,1.4638641448728995,0.6945
cov,0.07440738184894409,6.386332866998111,0.07032568651904282,6.084220100086987,1.26273140760841,1.9412465139785573,31.97868134582869,-0.004007433874775951,-0.21634777780388847,3.5111308196291064,0.8580154627673879,0.5673503045722776,1.0014793777137716,3.8330755467186073,0.0057209089433344715,0.057725160584939185,0.5113807988151208,-1.7234009239416044,-3.146414850521986,-0.49718840500327455,0.254
xl_cov,0.07876105104966294,6.203150956968966,0.07643915443247894,6.04232130139304,1.466773679296446,2.1092862721491796,32.20475042188227,-0.007443695656578896,-0.3961976927016811,3.233233751148151,0.8887068869945579,0.5594975498075803,0.6707921958104595,1.9766668193933554,0.005707981111876365,0.05745182451824518,1.2285812223878672,-0.017341303900667543,-1.4096561144703081,-0.724489577605397,0.121
