horizon,mean_da,median_da,mean_pearson,mean_spearman,mean_amp,mean_cov,n_cells,n_signif_05
1,0.4785714285714286,0.48,-0.02878010484706713,-0.04594611895831494,0.08445353937485807,0.7796428571428571,7,0
2,0.49392857142857144,0.4975,-0.026222847274613156,-0.039792958714983985,0.09197135830350289,0.785357142857143,7,0
3,0.48964285714285716,0.505,-0.022837746732380256,-0.019871723288194445,0.0880744341174046,0.7775,7,0
5,0.4964285714285714,0.495,-0.032341274792953074,-0.03900277873870944,0.0955957046998069,0.7892857142857144,7,0
