horizon,mean_da,median_da,mean_pearson,mean_spearman,mean_amp,mean_cov,n_cells,n_signif_05
1,0.484375,0.4875,0.03850956390064892,0.03418616454774755,0.18162036169557236,0.793125,16,0
2,0.48921875,0.4875,-0.02387663203419692,0.0162841706302311,0.15517689638219215,0.780625,16,0
3,0.48578125,0.4825,-0.10994615859882145,0.0040992956864751755,0.13406396370851453,0.79265625,16,0
5,0.48109375,0.485,-0.042643324242115935,-0.006015666461542643,0.12055978035988478,0.79203125,16,0
