horizon,mean_da,median_da,mean_pearson,mean_spearman,mean_amp,mean_cov,n_cells,n_signif_05
1,0.48078125,0.47875,0.04450430139740469,0.04236944463073285,0.2972693983249649,0.8106249999999999,16,0
2,0.460625,0.465,-0.10515524486759727,-0.06624914116198645,0.28885354450846723,0.798125,16,0
3,0.498125,0.5025,0.12274984976904295,0.07872749663360984,0.2615462474553041,0.80890625,16,0
5,0.47250000000000003,0.47624999999999995,-0.050496543691672016,-0.038411411356169406,0.2571212862262129,0.81015625,16,0
