variant,rebalance_days,ic,ic_t,ls_net_sharpe,ls_gross_sharpe,turnover,breakeven_bps,span_alpha_ann,span_alpha_t,fm_t,sharpe_boot_p_vs_chronos
chronos,5,0.08099562879224383,6.955892873800084,1.5732118512191617,2.2896082425782245,33.93069365475959,32.13499084973781,0.015665384533125673,0.8145982035331647,4.695151670346024,
mimic,5,0.08612601386667197,5.690126515398251,2.060168465930585,2.5706992847857055,21.680632527478682,69.59453096617405,0.025178147349719467,1.4386148183060425,3.7991365764737495,0.1165
chronos_minus_mimic,5,0.027338834118193336,2.9315208613288073,-0.5937212033848169,0.3547160716410801,42.0675896273861,-1.6859968840375137,-0.014407057787254865,-0.6472362961478175,2.7636254718224436,1.0
mimic_ext,5,0.08139870103135106,5.294903389096511,1.6089211829379853,2.1207376599497265,21.007233015091032,56.44023306727399,0.00710009569842996,0.4221532208919614,3.202710191248348,0.4575
chronos_minus_mimic_ext,5,0.024509272479737148,2.659585496870414,-0.3752196227480459,0.6293305808436714,43.21740322141467,1.0668040926338247,-0.009438637098533502,-0.42997978505582035,2.473536949627386,0.9985
combo_classic,5,0.05881183055811552,4.158493617658211,1.313924956857854,1.8895158295995709,30.90033963429584,32.48064005238141,-0.009982471995383106,-0.5821790599216938,4.854590957296372,0.672
combo_plus_chronos,5,0.06545556990875674,4.741407757484581,1.2268180213307045,1.8227721011706437,29.43410347219465,30.519908849197954,-0.00948598113470296,-0.5505462135941047,4.769015427706363,0.7685
chronos_smooth_hl5,5,0.08631340502174775,6.77216437018138,1.6491167474503774,2.149319400862112,14.569854758410413,77.84482959185767,0.03183077287896707,1.460054749067095,3.4907153586859963,0.3485
chronos_smooth_hl10,5,0.08147282670170196,6.228989926098827,1.4651780916942305,1.9323015341592134,10.143964997547135,97.68510493417288,0.02517475742808269,1.1178817371070702,2.7749071133338044,0.6585
chronos_smooth_hl21,5,0.0725627871992124,5.465880107444259,1.058533902089476,1.4981741136247866,7.219948468184015,100.07325154721072,0.004860513814235936,0.2239174225281334,1.912701196769187,0.93
chronos_monthly,21,0.12716065445553498,6.63312334751482,1.5015872585957446,2.062614657507039,9.610116172627492,87.0773599445377,-0.01134775639221281,-0.6776471616742956,3.365026765772679,
chronos_smooth_hl10_monthly,21,0.12069494194135368,5.076874101745566,1.0666192014262956,1.5032800594134952,5.5281691600968275,126.23324461368536,-0.012704985717700094,-0.6174923380160984,2.6194588042434304,
combo_plus_chronos_hl10,5,0.06265319971945085,4.346335785216227,0.9019154635897042,1.3205156018063873,9.799796851280604,63.60017591187803,-0.005906044455817809,-0.31885223715408645,2.2238910823904097,0.9165
combo_classic_hl10,5,0.048956513375744734,3.3849276413003335,0.7862056280438912,1.2020392408512142,10.717404586096796,52.835914404581445,-0.021480285558208433,-1.1739384800494137,1.507643918439595,0.89
