horizon,mean_da,median_da,mean_pearson,mean_spearman,mean_amp,mean_cov,n_cells,n_signif_05
1,0.47285714285714286,0.475,-0.032429000001967564,-0.012943109014815055,0.14861231152140025,0.8010714285714285,7,0
2,0.4857142857142857,0.49,-0.05587857168907447,-0.045661514720477685,0.14046228961603666,0.7982142857142858,7,0
3,0.4764285714285714,0.4825,-0.026917004749888278,-0.020917577064325326,0.13184298654199605,0.7878571428571428,7,0
5,0.47107142857142853,0.46,-0.029932059111258232,-0.05222434778358571,0.13189676154859994,0.8060714285714285,7,0
