model,qlike_raw,qlike_cal,dm_raw_vs_sig_variance,dm_cal_vs_sig_variance,dm_raw_vs_ewma,dm_cal_vs_ewma,dm_raw_vs_garch,dm_cal_vs_garch
iqr80,1.268121736436047,0.7273094601425367,5.420682300005731,0.6736420683183674,5.321801204459453,2.8795469979491286,5.770568027596235,1.1659077483850633
iqr50,2.2627467159341137,0.7866648210019985,6.144126993802412,1.4873991754978593,6.117849401616757,3.0692403187692685,6.279276424723423,1.5996301275573621
sig_variance,0.8898744238642937,0.7077533974752704,,,,,,
