variant,rebalance_days,ic,ic_t,ls_net_sharpe,ls_gross_sharpe,turnover,breakeven_bps,span_alpha_ann,span_alpha_t,fm_t,fm_t_over_chronos_and_classic,shape_mimic_oos_r2,fm_t_chronos_specific_part
qshape_SKEW,5,-0.01751039283042261,-2.0648310462421415,-2.0851491848591728,-1.3119909111900028,32.7662787709243,-29.025019682198486,-0.028733579283697044,-1.1445236881111027,-1.3493420127918994,-2.3286111012067745,0.24356118712715916,-1.328205588032618
qshape_UPDOWN,5,-0.017509100311173434,-2.0651762016538395,-2.0861123344825088,-1.3128553831335257,32.766344224815626,-29.036275754720037,-0.028775990939774673,-1.1469305644470607,-1.350949905599352,-2.329482889674088,0.24357860177680135,-1.3271169678590955
qshape_TAIL,5,-0.020313207939700973,-2.130958835273059,-0.1937825065794874,0.4339867112643186,23.92558450455348,0.24188581352644944,-0.047980726781295314,-2.0050680083111176,-0.18077176003221251,0.45915422769229425,0.4446280412055117,-0.3356860550274766
qshape_DOWN,5,-0.027492141933638723,-3.0706933075218794,-1.2164454054470193,-0.45994500351516754,29.023227409223146,-16.855744363731223,-0.018880517915639713,-0.7192885628632203,-0.339822537246134,-0.6940196030483655,0.25216434372383933,-0.6536495956248529
qshape_PUP,5,0.07435198608361444,6.497092064479383,1.286773752208695,1.9407274386690132,25.591051867226646,34.02488220260283,-0.0032692050778393286,-0.1771172431939244,2.8673146446791757,1.6735598020872449,0.5254738539522796,1.092656677657655
