variant,rebalance_days,ic,ic_t,ls_net_sharpe,ls_gross_sharpe,turnover,breakeven_bps,span_alpha_ann,span_alpha_t,fm_t,sharpe_boot_p_vs_chronos
chronos,5,0.07267751903831164,6.369977540252062,1.1705897040649624,1.8274663550692207,25.500355947026243,31.34579956654895,-0.002842399220758541,-0.1499960133584843,2.697695140466259,
mimic,5,0.08470531946754513,5.623522665218234,1.9914818061496842,2.4985499311540376,20.720678307975366,69.8539451887472,0.024789390678418517,1.5625991245617485,3.8274057288395467,0.0355
chronos_minus_mimic,5,0.015996815118014075,1.7743732733928972,-1.2247494618202412,-0.4023334018369132,32.45331931446306,-13.41016032952049,-0.03722809389210043,-1.6535436841429605,0.6903595965902255,1.0
combo_classic,5,0.05881183055811552,4.158493617658211,1.313924956857854,1.8895158295995709,30.90033963429584,32.48064005238141,-0.009982471995383106,-0.5821790599216938,4.854590957296372,0.4165
combo_plus_chronos,5,0.05554823288127371,3.9105051884845663,1.136051870677341,1.7254237070548186,29.189365627299207,29.004613783649475,-0.014480252499115586,-0.8426155337668134,4.078564386380313,0.5265
chronos_smooth_hl5,5,0.07445304727112284,6.071861092964243,1.1999418023786725,1.6989489072561892,11.927966270131872,67.26065609284252,0.00793283707553343,0.4155786731922393,2.488261741819385,0.449
chronos_smooth_hl10,5,0.07170041786145358,5.79181370264218,1.09293000882377,1.564386623022881,8.753193449048695,82.55992472910347,0.005222478463888123,0.269153294017813,2.1369662574020096,0.6315
chronos_smooth_hl21,5,0.06651945763731387,5.429011390477607,0.8922330553992243,1.3443277185414328,6.473977081481505,90.77136537930551,-0.0019032643242430363,-0.09620472728893276,1.626026105303748,0.8375
chronos_monthly,21,0.11808808667136138,5.5229623546453395,1.230484780470281,1.7618645362406982,8.191853337574406,86.35794646295946,-0.01478372323569229,-0.8586502871090663,3.3294727531647212,
chronos_smooth_hl10_monthly,21,0.10792519019649498,4.4891841368159335,0.9018795172767388,1.3497803886877464,5.072910065609854,113.04511808425094,-0.009742674195466549,-0.5601445971150232,2.9231803212065013,
combo_plus_chronos_hl10,5,0.051685825373841025,3.560368926333355,0.7052500629695695,1.1329562964239892,9.883885768535018,49.54854062224632,-0.016349796008950878,-0.8882260085163665,1.2277450773805119,0.7925
combo_classic_hl10,5,0.048956513375744734,3.3849276413003335,0.7862056280438912,1.2020392408512142,10.717404586096796,52.835914404581445,-0.021480285558208433,-1.1739384800494137,1.507643918439595,0.7215
