horizon,mean_da,median_da,mean_pearson,mean_spearman,mean_amp,mean_cov,n_cells,n_signif_05
1,0.47968253968253965,0.4857142857142857,-0.04192152176877476,-0.0328423152644505,0.28205006007868705,0.7993650793650793,18,0
2,0.48698412698412696,0.47857142857142854,-0.04268272324403489,-0.03230232167809714,0.2724640156585741,0.8058730158730159,18,0
3,0.4876190476190476,0.48857142857142855,-0.025899147808118732,-0.024153315460994883,0.253126226048852,0.8106349206349206,18,0
5,0.4898412698412698,0.4957142857142857,-0.03661863974381109,-0.02921292713148878,0.23387175539951854,0.8061904761904761,18,0
